Date,FishID,Length,Weightlb,Weightoz,Age,TagNumber,TagType,Group,Status,Deformed,Photo,Position,Comments
1994-07-03,1,61,6,10,10,sp1,NA,ferox85,released,no,1a,N56 40.802 W4 20.519,
1994-08-25,2,63,7,9,10,sp2,NA,ferox85,released,no,2a,N56 40.810 W4 20.225,
1994-09-15,3,48,2,9,11,sp3,NA,ferox85,released,no,3a,N56 41.392 W4 16.206,
1994-09-22,4,62,7,0,10,sp4,NA,ferox85,released,no,4a,N56 41.290 W4 16.861,
1994-09-22,5,59.5,5,8,11,sp5,NA,ferox85,released,no,5,N56 41.302 W4 16.799,
1994-09-25,6,52,3,8,9,sp6,NA,ferox85,released,no,6,N56 41.338 W4 14.506,
1994-09-25,7,51,3,5,10,sp7,NA,ferox85,released,no,,N56 41.364 W4 20.032,
1995-05-06,8,63,5,5,11,sp8,NA,ferox85,released,no,8,N56 41.628 W4 18.540,
1995-06-18,9,66,6,0,10,801,NA,ferox85,released,no,9,N56 40.802 W4 19.807,
1995-06-18,10,76.5,8,6,14,803,NA,ferox85,released,no,10,N56 40.881 W4 21.343,
1995-06-18,11,53.5,2,14,11,804,NA,ferox85,released,no,11,N56 41.228 W4 17.039,
1995-06-21,12,46,2,6,10,805,NA,ferox85,released,no,12,N56 41.358 W4 16.393,
1995-06-21,13,72,9,1,13,806,NA,ferox85,released,no,13,N56 40.803 W4 19.993,
1996-05-15,14,76,12,4,14,808,NA,ferox85,released,no,14,N56 41.744 W4 18.225,
1996-05-19,15,65,6,8,13,3010,NA,ferox85,released,no,15,N56 41.956 W4 17.118,
1996-06-16,16,76,9,3,13,8011,NA,ferox85,released,no,16,N56 42.114 W4 14.966,
1996-06-30,17,47.5,2,6,9,b012,NA,ferox85,released,no,17,N56 42.172 W4 13.311,
1996-08-25,18,75,10,4,12,b013,NA,ferox85,released,no,18,N56 41.461 W4 15.547,
1997-09-24,19,45,2,6,11,b016,NA,ferox85,released,no,19,N56 41.054 W4 22.526,
1997-10-06,20,41,1,12,7,b017,NA,ferox85,released,no,20,N56 42.107 W4 12.723,
1998-05-19,21,44,2,4,10,809,NA,ferox85,released,no,21,N56 42.011 W4 16.711,
1998-06-21,22,45.5,2,8,9,b100,NA,ferox85,released,no,22,N56 41.631 W4 18.460,
1998-07-04,23,47,2,0,10,b101,NA,ferox85,released,no,23,N56 40.833 W4 22.061,
1998-09-24,24,41,1,12,5,b106,NA,ferox85,released,no,24,N56 41.390 W4 14.753,
1998-10-04,25,61,6,2,12,b107,NA,ferox85,released,no,25,N56 41.810 W4 18.159,
1999-03-15,26,50.4,5,0,11,b108,NA,ferox85,released,no,26,N56 41.921 W4 17.526,
1999-09-22,27,82.5,13,8,14,b110,NA,ferox85,released,no,27,N56 41.326 W4 20.488,
2000-06-09,28,42.5,1,12,9,a47901,NA,ferox85,released,no,28,N56 41.456 W4 19.263,
2000-06-09,29,60,5,0,9,a47902,NA,ferox85,released,no,29,N56 41.032 W4 18.336,
2000-06-09,30,47.5,2,8,11,a47903,NA,ferox85,released,no,30,N56 41.691 W4 18.360,
2000-06-17,31,58,5,1,13,a47904,NA,ferox85,released,no,31,N56 41.774 W4 14.999,
2000-07-05,32,66.5,6,1,12,a47906,NA,ferox85,released,no,32,N56 41.362 W4 20.186,
2000-07-05,33,60.5,5,4,13,a47907,NA,ferox85,released,no,33,N56 41.498 W4 18.981,
2000-07-29,34,65,7,0,13,a47912,NA,ferox85,released,no,34,N56 41.510 W4 18.841,
2000-07-29,35,61,5,8,13,a47913,NA,ferox85,released,no,35,N56 41.257 W4 20.038,
2000-07-30,36,72,8,12,13,a47914,NA,ferox85,released,no,36,N56 40.989 W4 18.860,
2000-07-30,37,66,7,8,12,a47915,NA,ferox85,released,no,37,N56 40.981 W4 18.629,
2000-09-02,38,66,5,12,11,a47916,NA,ferox85,released,no,38,N56 41.594 W4 18.655,
2000-09-02,39,68,8,14,13,a47917,NA,ferox85,released,no,39,N56 41.707 W4 18.347,
2001-04-30,40,76.5,11,8,11,a47918,NA,ferox85,released,no,40,N56 41.384 W4 19.568,
2001-07-28,41,70,8,8,16,a47920,NA,ferox85,released,no,41,N56 41.898 W4 17.212,
2001-07-28,42,48.5,2,8,17,a47921,NA,ferox85,released,no,42,N56 41.361 W4 14.424,
2001-08-08,43,47,3,6,11,a47923,NA,ferox85,released,no,43,N56 41.519 W4 14.239,
2001-08-15,44,57.5,5,4,11,a47924,NA,ferox85,released,no,44,N56 41.466 W4 15.487,
2001-08-18,45,57,4,4,12,a47925,NA,ferox85,released,no,45,N56 41.902 W4 17.573,
2002-06-22,46,46.5,2,6,11,a47928,NA,ferox85,released,no,46,N56 42.093 W4 12.593,
2002-08-04,47,70,12,4,11,a47936,NA,ferox85,released,no,47,N56 41.476 W4 12.274,
2002-08-11,48,45.8,2,4,15,a47937,NA,ferox85,released,no,48,N56 40.958 W4 21.737,
2003-03-29,49,64,5,12,14,a47938,NA,ferox85,released,no,49,N56 41.892 W4 12.020,
2003-07-20,50,60,6,2,12,a47943,NA,ferox85,released,no,50,N56 41.586 W4 12.716,
2003-08-13,51,48,3,13,12,a47944,NA,ferox85,released,no,51,N56 41.383 W4 14.649,
2003-09-03,52,53.5,3,10,18,820,NA,ferox85,released,no,52,N56 40.778 W4 20.788,
2004-06-13,53,52.5,4,2,12,830,NA,ferox85,released,spine,53,N56 41.019 W4 18.466,
2004-08-28,54,45.5,1,14,11,833,NA,ferox85,released,no,54,N56 41.416 W4 15.133,
2004-08-29,55,40.2,1,12,7,834,NA,ferox85,released,no,55,N56 41.470 W4 13.219,
2005-06-03,56,75.5,16,5,18,837,NA,ferox85,released,no,56,N56 41.489 W4 12.865,
2005-06-04,57,66.5,7,8,12,839,NA,ferox85,released,no,57,N56 41.466 W4 12.753,
2006-06-21,58,66.5,6,8,13,844,NA,ferox85,released,jaw,58,N56 41.270 W4 16.909,
2006-08-13,59,50.5,3,2,8,845,NA,ferox85,released,no,59,N56 40.871 W4 20.004,
2007-04-16,60,74.5,11,0,9,846,NA,ferox85,released,no,60,N56 41.492 W4 18.922,
2008-05-05,61,67.4,8,4,9,P000901,NA,ferox85,released,no,61,N56 41.407 W4 13.766,
2008-07-16,62,40.1,1,8,7,P000903,NA,ferox85,released,no,62,N56 41.080 W4 17.632,
2009-04-21,63,68,8,0,12,,NA,ferox85,released,no,63,N56 41.414 W4 14.290,no tag
2009-05-09,64,44.5,1,14,8,P000905,NA,ferox85,released,no,64,N56 41.192 W4 17.135,
2009-06-02,65,58.2,4,12,9,P000906,NA,ferox85,released,no,65,N56 41.448 W4 13.314,
2009-06-02,66,69,10,8,12,P000907,NA,ferox85,released,no,66,N56 41.228 W4 17.059,
2009-06-20,67,40,1,6,7,P000908,NA,ferox85,released,no,67,N56 41.478 W4 12.373,
2009-06-22,68,43,2,1,7,P000909,NA,ferox85,released,no,68,N56 41.391 W4 14.262,
